Timestamp,SourceNode,ContactedNode,ContactLength
Sun Jan 07 18:18:52 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,5982
Sun Jan 07 18:18:54 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,7046
Sun Jan 07 18:18:55 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,2581
Sun Jan 07 18:19:06 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,3670
Sun Jan 07 18:19:19 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,9
Sun Jan 07 18:19:19 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,6782
Sun Jan 07 18:19:26 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1851
Sun Jan 07 18:19:30 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1587
Sun Jan 07 18:19:33 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1742
Sun Jan 07 18:19:36 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1924
Sun Jan 07 18:19:40 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1887
Sun Jan 07 18:19:45 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1687
Sun Jan 07 18:19:48 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1920
Sun Jan 07 18:19:52 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1636
Sun Jan 07 18:20:03 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1798
Sun Jan 07 18:20:09 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,5512
Sun Jan 07 18:20:13 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,2339
Sun Jan 07 18:20:17 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,41
Sun Jan 07 18:20:18 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,11071
