Timestamp,SourceNode,ContactedNode,ContactLength
Fri Jan 05 19:04:09 GMT+01:00 2024,F4:60:E2:DB:73:29,04:D1:3A:60:45:AB,13242
Fri Jan 05 19:04:27 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,2
Fri Jan 05 19:04:29 GMT+01:00 2024,F4:60:E2:DB:73:29,04:D1:3A:60:45:AB,8167
Fri Jan 05 19:04:32 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4
Fri Jan 05 19:04:32 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,1372
Fri Jan 05 19:04:33 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,46534
Fri Jan 05 19:05:07 GMT+01:00 2024,F4:60:E2:DB:73:29,20:34:FB:ED:94:5D,26130
Fri Jan 05 19:05:34 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4
Fri Jan 05 19:05:37 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,2670
Fri Jan 05 19:05:37 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,11059
Fri Jan 05 19:05:43 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4
Fri Jan 05 19:05:51 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,6508
Fri Jan 05 19:06:07 GMT+01:00 2024,F4:60:E2:DB:73:29,0C:C6:FD:1E:63:2B,110768
Fri Jan 05 19:06:18 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,11752
Fri Jan 05 19:06:19 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,39446
Fri Jan 05 19:06:20 GMT+01:00 2024,F4:60:E2:DB:73:29,20:34:FB:ED:94:5D,13656
Fri Jan 05 19:06:50 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4
Fri Jan 05 19:06:51 GMT+01:00 2024,F4:60:E2:DB:73:29,20:34:FB:ED:94:5D,19431
Fri Jan 05 19:07:03 GMT+01:00 2024,F4:60:E2:DB:73:29,0C:C6:FD:1E:63:2B,948
Fri Jan 05 19:07:08 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,14344
Fri Jan 05 19:07:15 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,1281
Fri Jan 05 19:07:15 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,53466
Fri Jan 05 19:07:20 GMT+01:00 2024,F4:60:E2:DB:73:29,20:34:FB:ED:94:5D,24266
Fri Jan 05 19:07:22 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,10
Fri Jan 05 19:07:34 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4
Fri Jan 05 19:07:53 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,18847
Fri Jan 05 19:07:59 GMT+01:00 2024,F4:60:E2:DB:73:29,F4:CB:52:73:DD:23,4061
