Timestamp,SourceNode,ContactedNode,ContactLength
Fri Jan 05 18:49:16 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,2272
Fri Jan 05 18:49:18 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,154
Fri Jan 05 18:49:18 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,273
Fri Jan 05 18:49:33 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1025
Fri Jan 05 18:49:36 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,3718
Fri Jan 05 18:49:38 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1536
Fri Jan 05 18:49:38 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1619
Fri Jan 05 18:49:40 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1041
Fri Jan 05 18:49:40 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1070
Fri Jan 05 18:49:49 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1780
Fri Jan 05 18:49:56 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,9183
Fri Jan 05 18:50:00 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,5160
Fri Jan 05 18:50:03 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,8064
Fri Jan 05 18:50:03 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,2168
Fri Jan 05 18:50:03 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,8335
Fri Jan 05 18:50:08 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1106
Fri Jan 05 18:50:08 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1148
Fri Jan 05 18:50:08 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,6421
Fri Jan 05 18:50:12 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,601
Fri Jan 05 18:50:12 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,622
Fri Jan 05 18:50:13 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,782
Fri Jan 05 18:50:13 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,843
Fri Jan 05 18:50:16 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,572
Fri Jan 05 18:50:17 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1053
Fri Jan 05 18:50:18 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,2838
Fri Jan 05 18:50:19 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,2543
Fri Jan 05 18:50:19 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,2552
Fri Jan 05 18:50:21 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,274
Fri Jan 05 18:50:24 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,2745
Fri Jan 05 18:50:26 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,4013
Fri Jan 05 18:50:27 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1800
Fri Jan 05 18:50:28 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,2550
Fri Jan 05 18:50:28 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,2329
Fri Jan 05 18:50:29 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,6784
Fri Jan 05 18:50:32 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3089
