Timestamp,SourceNode,ContactedNode,ContactLength
Mon Jan 08 06:29:56 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,306
Mon Jan 08 06:30:07 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1668
Mon Jan 08 06:30:09 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1021
Mon Jan 08 06:30:14 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2309
Mon Jan 08 06:30:20 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,4241
Mon Jan 08 06:30:28 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,8914
Mon Jan 08 06:30:32 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2453
Mon Jan 08 06:30:40 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,6
Mon Jan 08 06:30:40 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,8353
Mon Jan 08 06:30:40 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2782
Mon Jan 08 06:30:44 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1468
Mon Jan 08 06:30:51 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2841
Mon Jan 08 06:30:51 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1719
Mon Jan 08 06:30:54 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,1588
Mon Jan 08 06:30:55 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,490
Mon Jan 08 06:31:04 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2283
Mon Jan 08 06:31:09 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2093
Mon Jan 08 06:31:12 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2616
Mon Jan 08 06:31:20 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,3071
Mon Jan 08 06:31:49 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,27008
Mon Jan 08 06:31:55 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,24982
Mon Jan 08 06:31:56 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2434
Mon Jan 08 06:32:01 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,5613
Mon Jan 08 06:32:05 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5144
Mon Jan 08 06:32:05 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,3681
Mon Jan 08 06:32:08 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1048
Mon Jan 08 06:32:10 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,3345
Mon Jan 08 06:32:31 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,20008
Mon Jan 08 06:32:45 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,33158
Mon Jan 08 06:32:47 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,34021
Mon Jan 08 06:32:59 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,12055
Mon Jan 08 06:33:03 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,3
Mon Jan 08 06:33:03 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,457
Mon Jan 08 06:33:06 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,34513
Mon Jan 08 06:33:07 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,3933
Mon Jan 08 06:33:17 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,10017
Mon Jan 08 06:33:26 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,4059
Mon Jan 08 06:33:28 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,3
Mon Jan 08 06:33:28 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,7387
Mon Jan 08 06:33:38 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5251
Mon Jan 08 06:33:40 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,8450
Mon Jan 08 06:33:40 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,12635
Mon Jan 08 06:33:46 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,818
Mon Jan 08 06:33:46 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,6207
Mon Jan 08 06:33:47 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,4522
Mon Jan 08 06:33:53 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,3029
Mon Jan 08 06:34:11 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,18377
Mon Jan 08 06:34:12 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,16413
Mon Jan 08 06:34:14 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,16275
Mon Jan 08 06:34:37 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,24908
Mon Jan 08 06:34:52 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,33679
Mon Jan 08 06:34:59 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1810
Mon Jan 08 06:34:59 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,18286
Mon Jan 08 06:35:03 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,42133
Mon Jan 08 06:35:11 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,12
Mon Jan 08 06:35:11 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6650
Mon Jan 08 06:35:12 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,7163
Mon Jan 08 06:35:21 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,8278
Mon Jan 08 06:35:29 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,6084
Mon Jan 08 06:35:34 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,5
Mon Jan 08 06:35:34 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,18283
Mon Jan 08 06:35:40 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,4542
Mon Jan 08 06:35:47 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,5459
Mon Jan 08 06:35:53 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,10167
Mon Jan 08 06:36:01 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,15058
Mon Jan 08 06:36:02 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,13527
Mon Jan 08 06:36:06 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,17573
Mon Jan 08 06:36:10 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,7466
Mon Jan 08 06:36:14 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,8056
Mon Jan 08 06:36:15 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6872
Mon Jan 08 06:36:15 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,4543
Mon Jan 08 06:36:38 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,20007
Mon Jan 08 06:36:53 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,15680
Mon Jan 08 06:36:53 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2516
Mon Jan 08 06:36:53 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,10
Mon Jan 08 06:36:53 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,33317
Mon Jan 08 06:36:58 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,5265
Mon Jan 08 06:36:58 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,6
Mon Jan 08 06:36:59 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,37950
Mon Jan 08 06:37:23 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,25773
Mon Jan 08 06:37:29 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,22075
Mon Jan 08 06:37:29 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,4574
Mon Jan 08 06:37:29 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,29344
Mon Jan 08 06:37:43 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2
Mon Jan 08 06:37:43 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,44108
Mon Jan 08 06:37:54 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,11086
Mon Jan 08 06:37:55 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,9191
Mon Jan 08 06:38:01 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,29715
Mon Jan 08 06:38:09 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,3
Mon Jan 08 06:38:09 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6075
Mon Jan 08 06:38:10 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,23759
Mon Jan 08 06:39:07 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,26014
Mon Jan 08 06:39:36 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,44647
Mon Jan 08 06:39:47 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,12
Mon Jan 08 06:40:20 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,29004
Mon Jan 08 06:40:40 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,46955
Mon Jan 08 06:40:40 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,32180
Mon Jan 08 06:41:38 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,22004
Mon Jan 08 06:42:01 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,36886
Mon Jan 08 06:42:27 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,45324
Mon Jan 08 06:42:56 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,51634
Mon Jan 08 06:43:16 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,47600
Mon Jan 08 06:43:40 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,56359
Mon Jan 08 06:43:40 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,36655
Mon Jan 08 06:43:58 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,7
Mon Jan 08 06:44:38 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,27009
Mon Jan 08 06:45:10 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,10
Mon Jan 08 06:45:13 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,8
Mon Jan 08 06:45:23 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,10
Mon Jan 08 06:45:29 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,10
Mon Jan 08 06:45:31 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,13
Mon Jan 08 06:46:00 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,20009
Mon Jan 08 06:46:30 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,29011
Mon Jan 08 06:46:59 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,23009
Mon Jan 08 06:47:29 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,28012
Mon Jan 08 06:48:03 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,27006
Mon Jan 08 06:48:10 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,596065
Mon Jan 08 06:48:23 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,8992
Mon Jan 08 06:50:08 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,2251
Mon Jan 08 06:50:30 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,23842
Mon Jan 08 06:50:36 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,25939
Mon Jan 08 06:51:11 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,24007
Mon Jan 08 06:51:23 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,34470
Mon Jan 08 06:51:28 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,36088
