Timestamp,SourceNode,ContactedNode,ContactLength
Mon Jan 08 06:32:51 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,7
Mon Jan 08 06:32:51 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,5839
Mon Jan 08 06:32:51 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,8187
Mon Jan 08 06:33:13 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,25406
Mon Jan 08 06:33:15 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,23602
Mon Jan 08 06:33:16 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,23899
Mon Jan 08 06:33:18 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1326
Mon Jan 08 06:33:20 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,891
Mon Jan 08 06:33:23 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,3044
Mon Jan 08 06:33:25 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3258
Mon Jan 08 06:33:29 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3164
Mon Jan 08 06:33:32 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,3217
Mon Jan 08 06:33:36 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,10193
Mon Jan 08 06:33:40 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,7383
Mon Jan 08 06:33:45 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3406
Mon Jan 08 06:33:47 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,8654
Mon Jan 08 06:33:53 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,3
Mon Jan 08 06:33:54 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,14987
Mon Jan 08 06:33:57 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,3789
Mon Jan 08 06:33:59 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,740
Mon Jan 08 06:34:01 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1209
Mon Jan 08 06:34:06 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3625
Mon Jan 08 06:34:10 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,13193
Mon Jan 08 06:34:11 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3101
Mon Jan 08 06:34:17 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,4188
Mon Jan 08 06:34:38 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,29970
Mon Jan 08 06:34:43 GMT+01:00 2024,F4:CB:52:73:DD:23,20:34:FB:ED:94:5D,22881
Mon Jan 08 06:34:43 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,9422
Mon Jan 08 06:34:44 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,9
Mon Jan 08 06:34:44 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,883
Mon Jan 08 06:34:46 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1697
Mon Jan 08 06:34:47 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,6
Mon Jan 08 06:34:47 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,785
Mon Jan 08 06:34:53 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,1651
Mon Jan 08 06:34:55 GMT+01:00 2024,F4:CB:52:73:DD:23,04:D1:3A:60:45:AB,1647
Mon Jan 08 06:35:01 GMT+01:00 2024,F4:CB:52:73:DD:23,0C:C6:FD:1E:63:2B,3676
