Timestamp,SourceNode,ContactedNode,ContactLength
Mon Jan 08 05:44:44 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,3729
Mon Jan 08 05:44:50 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:60:E2:DB:73:29,6686
Mon Jan 08 05:44:56 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,5402
Mon Jan 08 05:45:02 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,4042
Mon Jan 08 05:45:08 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,7056
Mon Jan 08 05:45:13 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:60:E2:DB:73:29,9621
Mon Jan 08 05:45:17 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,9199
Mon Jan 08 05:45:23 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,5338
Mon Jan 08 05:45:28 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,8148
Mon Jan 08 05:45:32 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,4624
Mon Jan 08 05:45:34 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,5
Mon Jan 08 05:45:37 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,595
Mon Jan 08 05:45:37 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,6147
Mon Jan 08 05:45:45 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,6
Mon Jan 08 05:45:55 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,16813
Mon Jan 08 05:45:55 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,5
Mon Jan 08 05:45:56 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,9060
Mon Jan 08 05:45:56 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,14143
Mon Jan 08 05:46:00 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,4059
Mon Jan 08 05:46:05 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,75120
Mon Jan 08 05:46:06 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,5
Mon Jan 08 05:46:11 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,3104
Mon Jan 08 05:46:11 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,10567
Mon Jan 08 05:46:21 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:60:E2:DB:73:29,17883
Mon Jan 08 05:46:22 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,5679
Mon Jan 08 05:46:26 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,6176
Mon Jan 08 05:46:31 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,7413
Mon Jan 08 05:46:33 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:60:E2:DB:73:29,11170
Mon Jan 08 05:46:38 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,2991
Mon Jan 08 05:46:43 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:60:E2:DB:73:29,1356
Mon Jan 08 05:47:03 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,19059
Mon Jan 08 05:47:04 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,22440
Mon Jan 08 05:47:05 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,19982
Mon Jan 08 05:47:14 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,3457
Mon Jan 08 05:47:25 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,5452
Mon Jan 08 05:47:30 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,23122
Mon Jan 08 05:47:34 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,4
Mon Jan 08 05:47:39 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,24418
Mon Jan 08 05:47:40 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,7906
Mon Jan 08 05:47:44 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,6313
Mon Jan 08 05:47:44 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,11511
Mon Jan 08 05:47:48 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,2063
Mon Jan 08 05:47:54 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,5208
Mon Jan 08 05:47:55 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,1131
Mon Jan 08 05:48:03 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,6
Mon Jan 08 05:48:04 GMT+01:00 2024,04:D1:3A:60:45:AB,0C:C6:FD:1E:63:2B,3401
Mon Jan 08 05:48:07 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,6
Mon Jan 08 05:48:08 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,11547
Mon Jan 08 05:48:19 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,5642
Mon Jan 08 05:48:26 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,210
Mon Jan 08 05:48:26 GMT+01:00 2024,04:D1:3A:60:45:AB,20:34:FB:ED:94:5D,30085
Mon Jan 08 05:48:29 GMT+01:00 2024,04:D1:3A:60:45:AB,F4:CB:52:73:DD:23,8330
